a.user,a.choice,b.user,b.choice,end
firejoule,SHARE,reneiren,SHARE,Both /u/firejoule and /u/reneiren share $500 for trusting one another.
k_a_r_m_a_r_a,STEAL,throwaway133379001,STEAL,Both /u/k_a_r_m_a_r_a and /u/throwaway133379001 get nothing.
hugesf,STEAL,apoptopsicle,STEAL,Both /u/hugesf and /u/apoptopsicle get nothing.
leninacrowne94,SHARE,65rytg,STEAL,"/u/65rytg wins $1000 for stealing from /u/leninacrowne94, who gets nothing."
yourdose,SHARE,convincingpsedonym,SHARE,Both /u/yourdose and /u/convincingpsedonym share $500 for trusting one another.
delphizer,STEAL,pricelesshats,SHARE,"/u/delphizer wins $1000 for stealing from /u/pricelesshats, who gets nothing."
nullomore,SHARE,briannasaurusrex92,SHARE,Both /u/nullomore and /u/briannasaurusrex92 share $500 for trusting one another.
narwhalenthusiasts,SHARE,chavkk,SHARE,Both /u/narwhalenthusiasts and /u/chavkk share $500 for trusting one another.
davidthewalkerx,SHARE,fallon758,SHARE,Both /u/davidthewalkerx and /u/fallon758 share $500 for trusting one another.
yolman56,SHARE,vietnamesebatman,SHARE,Both /u/yolman56 and /u/vietnamesebatman share $500 for trusting one another.
mrs_schwalls,SHARE,zantary,STEAL,"/u/zantary wins $1000 for stealing from /u/mrs_schwalls, who gets nothing."
marxistpoodle,STEAL,smathering,SHARE,"/u/marxistpoodle wins $1000 for stealing from /u/smathering, who gets nothing."
survivevivrus,SHARE,disraelieers,SHARE,Both /u/survivevivrus and /u/disraelieers share $500 for trusting one another.
spikethebunny,SHARE,seaweed62393,SHARE,Both /u/spikethebunny and /u/seaweed62393 share $500 for trusting one another.
sammyterrybelzer,STEAL,i_cut_shoes,SHARE,"/u/sammyterrybelzer wins $1000 for stealing from /u/i_cut_shoes, who gets nothing."
dragonheart000,SHARE,11111000000b,SHARE,Both /u/dragonheart000 and /u/11111000000b share $500 for trusting one another.
skarm137,SHARE,sovietvvinter,SHARE,Both /u/skarm137 and /u/sovietvvinter share $500 for trusting one another.
dukecounter,SHARE,the_least_of_these,SHARE,Both /u/dukecounter and /u/the_least_of_these share $500 for trusting one another.
shining_,SHARE,moogle02,STEAL,"/u/moogle02 wins $1000 for stealing from /u/shining_, who gets nothing."
namesarehard1815,STEAL,grkpgn,SHARE,"/u/namesarehard1815 wins $1000 for stealing from /u/grkpgn, who gets nothing."
rathena,SHARE,jacobhess13,STEAL,"/u/jacobhess13 wins $1000 for stealing from /u/rathena, who gets nothing."
jacobepping,SHARE,tlmb0,STEAL,"/u/tlmb0 wins $1000 for stealing from /u/jacobepping, who gets nothing."
kmrst,SHARE,imlikesocool,STEAL,"/u/imlikesocool wins $1000 for stealing from /u/kmrst, who gets nothing."
avarangian,SHARE,andydandy162,SHARE,Both /u/avarangian and /u/andydandy162 share $500 for trusting one another.
netherlewis,SHARE,alienpajamaparty,SHARE,Both /u/netherlewis and /u/alienpajamaparty share $500 for trusting one another.
summertime214,SHARE,orthanit,SHARE,Both /u/summertime214 and /u/orthanit share $500 for trusting one another.
schutterke,STEAL,thewalkinggnome,SHARE,"/u/schutterke wins $1000 for stealing from /u/thewalkinggnome, who gets nothing."
dagsaroni,STEAL,hysteriacthesecond,SHARE,"/u/dagsaroni wins $1000 for stealing from /u/hysteriacthesecond, who gets nothing."
moovlin,STEAL,pm_meyourcoffee,SHARE,"/u/moovlin wins $1000 for stealing from /u/pm_meyourcoffee, who gets nothing."
newme274,STEAL,thatwriterfriend,SHARE,"/u/newme274 wins $1000 for stealing from /u/thatwriterfriend, who gets nothing."
altoidian,SHARE,hollybv,SHARE,Both /u/altoidian and /u/hollybv share $500 for trusting one another.
pepsilover1,SHARE,zonination,STEAL,"/u/zonination wins $1000 for stealing from /u/pepsilover1, who gets nothing."
hypergraphia,SHARE,carr0tjuice,STEAL,"/u/carr0tjuice wins $1000 for stealing from /u/hypergraphia, who gets nothing."
lost-in-neverland,SHARE,endemiclegacy,SHARE,Both /u/lost-in-neverland and /u/endemiclegacy share $500 for trusting one another.
night_of_the_shadows,SHARE,vukrum,SHARE,Both /u/night_of_the_shadows and /u/vukrum share $500 for trusting one another.
grathorn,SHARE,purplemurex,SHARE,Both /u/grathorn and /u/purplemurex share $500 for trusting one another.
arthuresque,SHARE,kolchakk,SHARE,Both /u/arthuresque and /u/kolchakk share $500 for trusting one another.
pixel871,STEAL,swagmasterrs,STEAL,Both /u/pixel871 and /u/swagmasterrs get nothing.
edthewellendowed,STEAL,redtheta,SHARE,"/u/edthewellendowed wins $1000 for stealing from /u/redtheta, who gets nothing."
audixmusic,STEAL,zackattackz,SHARE,"/u/audixmusic wins $1000 for stealing from /u/zackattackz, who gets nothing."
internetadventurer,SHARE,meepweep,SHARE,Both /u/internetadventurer and /u/meepweep share $500 for trusting one another.
meatyloafr,STEAL,coltonhoover,SHARE,"/u/meatyloafr wins $1000 for stealing from /u/coltonhoover, who gets nothing."
mrdugong,SHARE,isaezraa,SHARE,Both /u/mrdugong and /u/isaezraa share $500 for trusting one another.
vowelss,STEAL,_eggpiant_,STEAL,Both /u/vowelss and /u/_eggpiant_ get nothing.
ross231,SHARE,nosdarb,SHARE,Both /u/ross231 and /u/nosdarb share $500 for trusting one another.
kashthealien,SHARE,caninuswhitus,SHARE,Both /u/kashthealien and /u/caninuswhitus share $500 for trusting one another.
no,SHARE,unicornbomber,SHARE,Both /u/no and /u/unicornbomber share $500 for trusting one another.
flyingmonkeyssaymoo,SHARE,gintarazimu,STEAL,"/u/gintarazimu wins $1000 for stealing from /u/flyingmonkeyssaymoo, who gets nothing."
ruschnav,SHARE,ak47_al123,SHARE,Both /u/ruschnav and /u/ak47_al123 share $500 for trusting one another.
apflamous,SHARE,itledtoredwhiteblue,SHARE,Both /u/apflamous and /u/itledtoredwhiteblue share $500 for trusting one another.
wimism,SHARE,rhyschew,STEAL,"/u/rhyschew wins $1000 for stealing from /u/wimism, who gets nothing."
canoncraze,SHARE,doctorcorvair,STEAL,"/u/doctorcorvair wins $1000 for stealing from /u/canoncraze, who gets nothing."
calicog,SHARE,miss-robot,SHARE,Both /u/calicog and /u/miss-robot share $500 for trusting one another.
chthonicirrigation,STEAL,fake,STEAL,Both /u/chthonicirrigation and /u/fake get nothing.
eyebrowsforeveryone,SHARE,a_dam_ste,SHARE,Both /u/eyebrowsforeveryone and /u/a_dam_ste share $500 for trusting one another.
weston1108,STEAL,skwrepb,SHARE,"/u/weston1108 wins $1000 for stealing from /u/skwrepb, who gets nothing."
amazinglyawesomename,SHARE,shaveslavers,SHARE,Both /u/amazinglyawesomename and /u/shaveslavers share $500 for trusting one another.
snurfrielle,SHARE,maxumusprime0,SHARE,Both /u/snurfrielle and /u/maxumusprime0 share $500 for trusting one another.
yoavsnake,STEAL,rara623,SHARE,"/u/yoavsnake wins $1000 for stealing from /u/rara623, who gets nothing."
calibaan,SHARE,krtkneki,SHARE,Both /u/calibaan and /u/krtkneki share $500 for trusting one another.
cyberrubyfox,SHARE,ravistay,SHARE,Both /u/cyberrubyfox and /u/ravistay share $500 for trusting one another.
15goku,SHARE,2spoogy,SHARE,Both /u/15goku and /u/2spoogy share $500 for trusting one another.
thomas6785,STEAL,utari,SHARE,"/u/thomas6785 wins $1000 for stealing from /u/utari, who gets nothing."
kiribatii,SHARE,edihau,SHARE,Both /u/kiribatii and /u/edihau share $500 for trusting one another.
etherealphoenix,SHARE,xaplostras,SHARE,Both /u/etherealphoenix and /u/xaplostras share $500 for trusting one another.
dottydani,SHARE,gonumen,SHARE,Both /u/dottydani and /u/gonumen share $500 for trusting one another.
wjsutton12,STEAL,makingitpurple,STEAL,Both /u/wjsutton12 and /u/makingitpurple get nothing.
hellsing73,STEAL,lordllamahat,SHARE,"/u/hellsing73 wins $1000 for stealing from /u/lordllamahat, who gets nothing."
bear_cop,STEAL,ssabethh,SHARE,"/u/bear_cop wins $1000 for stealing from /u/ssabethh, who gets nothing."
pablothemexican7,SHARE,lifeofchrome,SHARE,Both /u/pablothemexican7 and /u/lifeofchrome share $500 for trusting one another.
omgitsomeguy,SHARE,boltkey,STEAL,"/u/boltkey wins $1000 for stealing from /u/omgitsomeguy, who gets nothing."
steaknsteak,SHARE,idon'twanna,SHARE,Both /u/steaknsteak and /u/idon'twanna share $500 for trusting one another.
