a.user|a.choice|b.user|b.choice|end
moogle02|STEAL|hushsquared|SHARE|/u/moogle02 wins $1000 for stealing from /u/hushsquared, who gets nothing.
youcalled911forthat|SHARE|vietnamesebatman|SHARE|Both /u/youcalled911forthat and /u/vietnamesebatman share $500 for trusting one another.
mycardboardsword|STEAL|songstressindistress|SHARE|/u/mycardboardsword wins $1000 for stealing from /u/songstressindistress, who gets nothing.
calibaan|SHARE|jaclekiller|SHARE|Both /u/calibaan and /u/jaclekiller share $500 for trusting one another.
yum_muesli|SHARE|bear_cop|STEAL|/u/bear_cop wins $1000 for stealing from /u/yum_muesli, who gets nothing.
lordllamahat|SHARE|grosscoconuts|SHARE|Both /u/lordllamahat and /u/grosscoconuts share $500 for trusting one another.
tangentialsinuosity|SHARE|rara623|SHARE|Both /u/tangentialsinuosity and /u/rara623 share $500 for trusting one another.
synonymous_with|SHARE|1585881|SHARE|Both /u/synonymous_with and /u/1585881 share $500 for trusting one another.
edthewellendowed|STEAL|tlmb0|STEAL|Both /u/edthewellendowed and /u/tlmb0 get nothing.
emcee_squared|SHARE|onesixtyseven|SHARE|Both /u/emcee_squared and /u/onesixtyseven share $500 for trusting one another.
iadrummer|SHARE|browniebrown|SHARE|Both /u/iadrummer and /u/browniebrown share $500 for trusting one another.
cloneman95|STEAL|jeray2000|SHARE|/u/cloneman95 wins $1000 for stealing from /u/jeray2000, who gets nothing.
brownsparrow|SHARE|briannasaurusrex92|SHARE|Both /u/brownsparrow and /u/briannasaurusrex92 share $500 for trusting one another.
evilsalmon|SHARE|canoncraze|SHARE|Both /u/evilsalmon and /u/canoncraze share $500 for trusting one another.
rotten_brido|SHARE|numberlesswake|SHARE|Both /u/rotten_brido and /u/numberlesswake share $500 for trusting one another.
smurffor3|STEAL|nullomore|SHARE|/u/smurffor3 wins $1000 for stealing from /u/nullomore, who gets nothing.
zak|STEAL|humansarejustarumor|SHARE|/u/zak wins $1000 for stealing from /u/humansarejustarumor, who gets nothing.
etherealphoenix|SHARE|apoptopsicle|STEAL|/u/apoptopsicle wins $1000 for stealing from /u/etherealphoenix, who gets nothing.
summertime214|SHARE|moithirteen|STEAL|/u/moithirteen wins $1000 for stealing from /u/summertime214, who gets nothing.
krtkneki|SHARE|crappylaptop|SHARE|Both /u/krtkneki and /u/crappylaptop share $500 for trusting one another.
spectral-k|SHARE|ssabethh|SHARE|Both /u/spectral-k and /u/ssabethh share $500 for trusting one another.
jacobhess13|STEAL|alaskansky|SHARE|/u/jacobhess13 wins $1000 for stealing from /u/alaskansky, who gets nothing.
swagmasterrs|STEAL|xor50|SHARE|/u/swagmasterrs wins $1000 for stealing from /u/xor50, who gets nothing.
metroid_slayer|SHARE|edihau|SHARE|Both /u/metroid_slayer and /u/edihau share $500 for trusting one another.
firejoule|SHARE|alecksphillips|SHARE|Both /u/firejoule and /u/alecksphillips share $500 for trusting one another.
gonumen|SHARE|legosp7|SHARE|Both /u/gonumen and /u/legosp7 share $500 for trusting one another.
mrballoon_hands|STEAL|beveridgecurve101|SHARE|/u/mrballoon_hands wins $1000 for stealing from /u/beveridgecurve101, who gets nothing.
pili_in_ibiza|STEAL|smfullman|SHARE|/u/pili_in_ibiza wins $1000 for stealing from /u/smfullman, who gets nothing.
spacejunk444|STEAL|jompeter01|SHARE|/u/spacejunk444 wins $1000 for stealing from /u/jompeter01, who gets nothing.
jingah|STEAL|pricelesshats|SHARE|/u/jingah wins $1000 for stealing from /u/pricelesshats, who gets nothing.
roarkitty|SHARE|internet_friends|SHARE|Both /u/roarkitty and /u/internet_friends share $500 for trusting one another.
navyblue161|SHARE|grkpgn|SHARE|Both /u/navyblue161 and /u/grkpgn share $500 for trusting one another.
vowelss|STEAL|-rosemallow|STEAL|Both /u/vowelss and /u/-rosemallow get nothing.
yourdose|SHARE|henricy|SHARE|Both /u/yourdose and /u/henricy share $500 for trusting one another.
emmanation|SHARE|davidthewalkerx|SHARE|Both /u/emmanation and /u/davidthewalkerx share $500 for trusting one another.
yolman56|SHARE|thatredechidna|SHARE|Both /u/yolman56 and /u/thatredechidna share $500 for trusting one another.
i_cut_shoes|SHARE|narwhalenthusiasts|SHARE|Both /u/i_cut_shoes and /u/narwhalenthusiasts share $500 for trusting one another.
xangria|SHARE|aberger|SHARE|Both /u/xangria and /u/aberger share $500 for trusting one another.
orthanit|SHARE|-pikajew|SHARE|Both /u/orthanit and /u/-pikajew share $500 for trusting one another.
snurfrielle|SHARE|2spoogy|SHARE|Both /u/snurfrielle and /u/2spoogy share $500 for trusting one another.
i think that i am playing a bot and this doesn't matter|SHARE|draugwen|SHARE|Both /u/i think that i am playing a bot and this doesn't matter and /u/draugwen share $500 for trusting one another.
rhazior|SHARE|leninacrowne94|SHARE|Both /u/rhazior and /u/leninacrowne94 share $500 for trusting one another.
xtarification|STEAL|lunarwolfx|SHARE|/u/xtarification wins $1000 for stealing from /u/lunarwolfx, who gets nothing.
thewalkinggnome|SHARE|marychristine|SHARE|Both /u/thewalkinggnome and /u/marychristine share $500 for trusting one another.
grathorn|SHARE|disraelieers|SHARE|Both /u/grathorn and /u/disraelieers share $500 for trusting one another.
cg5|SHARE|nowayamigoingtoactuallyputithere2627|SHARE|Both /u/cg5 and /u/nowayamigoingtoactuallyputithere2627 share $500 for trusting one another.
arctem|SHARE|scubaduck|SHARE|Both /u/arctem and /u/scubaduck share $500 for trusting one another.
chan1150|STEAL|evokenz|SHARE|/u/chan1150 wins $1000 for stealing from /u/evokenz, who gets nothing.
97ft|STEAL|platonic_void|SHARE|/u/97ft wins $1000 for stealing from /u/platonic_void, who gets nothing.
dottydani|SHARE|utari|SHARE|Both /u/dottydani and /u/utari share $500 for trusting one another.
omgitsomeguy|SHARE|oneredsent|STEAL|/u/oneredsent wins $1000 for stealing from /u/omgitsomeguy, who gets nothing.
skarm137|SHARE|auramgold|SHARE|Both /u/skarm137 and /u/auramgold share $500 for trusting one another.
boltkey|STEAL|madethisforoneremark|SHARE|/u/boltkey wins $1000 for stealing from /u/madethisforoneremark, who gets nothing.
blooor|SHARE|tkaish|SHARE|Both /u/blooor and /u/tkaish share $500 for trusting one another.
hellsing73|STEAL|sovietvvinter|SHARE|/u/hellsing73 wins $1000 for stealing from /u/sovietvvinter, who gets nothing.
hunter5226|SHARE|cherryclackers|SHARE|Both /u/hunter5226 and /u/cherryclackers share $500 for trusting one another.
throwaway133379001|STEAL|tridentboy|STEAL|Both /u/throwaway133379001 and /u/tridentboy get nothing.
jntlmeow|SHARE|pixel871|STEAL|/u/pixel871 wins $1000 for stealing from /u/jntlmeow, who gets nothing.
vukrum|SHARE|ooglyman|SHARE|Both /u/vukrum and /u/ooglyman share $500 for trusting one another.
dagsaroni|STEAL|twitchy775|SHARE|/u/dagsaroni wins $1000 for stealing from /u/twitchy775, who gets nothing.
smathering|SHARE|no|SHARE|Both /u/smathering and /u/no share $500 for trusting one another.
cyberrubyfox|SHARE|letsgobaby|SHARE|Both /u/cyberrubyfox and /u/letsgobaby share $500 for trusting one another.
joejoemojo|SHARE|hollybv|SHARE|Both /u/joejoemojo and /u/hollybv share $500 for trusting one another.
400_lux|STEAL|pablothemexican7|SHARE|/u/400_lux wins $1000 for stealing from /u/pablothemexican7, who gets nothing.
shaveslavers|SHARE|thatyahoo|STEAL|/u/thatyahoo wins $1000 for stealing from /u/shaveslavers, who gets nothing.
public_compliance|SHARE|pepsilover1|SHARE|Both /u/public_compliance and /u/pepsilover1 share $500 for trusting one another.
namesarehard1815|STEAL|shining_|SHARE|/u/namesarehard1815 wins $1000 for stealing from /u/shining_, who gets nothing.
convincingpsedonym|SHARE|itledtoredwhiteblue|SHARE|Both /u/convincingpsedonym and /u/itledtoredwhiteblue share $500 for trusting one another.
maxumusprime0|SHARE|coltonhoover|SHARE|Both /u/maxumusprime0 and /u/coltonhoover share $500 for trusting one another.
perntdoast|SHARE|aoeui344|SHARE|Both /u/perntdoast and /u/aoeui344 share $500 for trusting one another.
businesscasualghost|SHARE|the_glass_cannon|SHARE|Both /u/businesscasualghost and /u/the_glass_cannon share $500 for trusting one another.
ruschnav|SHARE|fire1299|SHARE|Both /u/ruschnav and /u/fire1299 share $500 for trusting one another.
eyebrowsforeveryone|SHARE|cocochica33|STEAL|/u/cocochica33 wins $1000 for stealing from /u/eyebrowsforeveryone, who gets nothing.
elvysaur|STEAL|natevh1|SHARE|/u/elvysaur wins $1000 for stealing from /u/natevh1, who gets nothing.
ak47_al123|SHARE|blmzd|SHARE|Both /u/ak47_al123 and /u/blmzd share $500 for trusting one another.
dalibar|SHARE|grimaceandfriends|SHARE|Both /u/dalibar and /u/grimaceandfriends share $500 for trusting one another.
thatwriterfriend|SHARE|graviton_beam|SHARE|Both /u/thatwriterfriend and /u/graviton_beam share $500 for trusting one another.
kashthealien|SHARE|_kissmexoxo|SHARE|Both /u/kashthealien and /u/_kissmexoxo share $500 for trusting one another.
sammyterrybelzer|STEAL|distressedcarbon|SHARE|/u/sammyterrybelzer wins $1000 for stealing from /u/distressedcarbon, who gets nothing.
